Impressora,Setor,IP,Cor,Nivel_Porcentagem,Ultima_Atualizacao
Epson,RH,192.168.8.20,Black Ink Supply Unit T11A1/T11B1,95,18/08/2026 15:26
Epson,RH,192.168.8.20,Cyan Ink Supply Unit T11A2,99,18/08/2026 15:26
Epson,RH,192.168.8.20,Magenta Ink Supply Unit T11A3,97,18/08/2026 15:26
Epson,RH,192.168.8.20,Yellow Ink Supply Unit T11A4,97,18/08/2026 15:26
Epson,Juridico,192.168.4.19,Black Ink Supply Unit T11A1/T11B1,54,18/08/2026 15:26
Epson,Juridico,192.168.4.19,Cyan Ink Supply Unit T11A2,74,18/08/2026 15:26
Epson,Juridico,192.168.4.19,Magenta Ink Supply Unit T11A3,75,18/08/2026 15:26
Epson,Juridico,192.168.4.19,Yellow Ink Supply Unit T11A4,77,18/08/2026 15:26
Epson,Recepção Oficina,192.168.10.19,Black Ink Supply Unit T11A1/T11B1,97,18/08/2026 15:26
Epson,Recepção Oficina,192.168.10.19,Cyan Ink Supply Unit T11A2,68,18/08/2026 15:26
Epson,Recepção Oficina,192.168.10.19,Magenta Ink Supply Unit T11A3,73,18/08/2026 15:26
Epson,Recepção Oficina,192.168.10.19,Yellow Ink Supply Unit T11A4,79,18/08/2026 15:26
